,,,,,,,,
1,solipsism,9(s▮▮▮▮▮▮▮▮▮),字,,自身の意識と自我のみを実在するものとし、,0,,
,唯我論,,,,それ以外は自我に内包されるという論。,,,
2,permafrost,10(p▮▮▮▮▮▮▮▮▮),字,,複数年凍結した状態が持続した土壌。,0,,
,永久凍土,,,,,,,
3,pyroclastic(flow),10(p▮▮▮▮▮▮▮▮▮ flow),字,,高温のマグマの細かい破片が,0,,
,火砕流,,,,気体と混合して流れ下る現象。,,,
4,bromine,7(b▮▮▮▮▮▮),字,,元素の一つ。常温で液状。,0,,
,臭素,,,,,,,
5,acrophobia,10(a▮▮▮▮▮▮▮▮▮),字,,高所に対して恐怖を抱くこと。,0,,
,高所恐怖症,,,,,,,
6,(sea)bream,5(sea b▮▮▮▮),字,,コイ科に属する魚類の一種。,0,,
,鯛,,,,,,,
7,miasma,6(m▮▮▮▮▮),字,,病気の原因になると信じられている空気。,0,,
,瘴気,,,,,,,
8,seive,5(s▮▮▮▮),字,,振って小さな粉を落とす器具。,0,,
,篩,,,,また、物事を選別する際の基準。,,,
9,dodecahedron,12(d▮▮▮▮▮▮▮▮▮▮▮),字,,12枚の面からなる多面体のこと。,0,,
,十二面体,,,,,,,
10,orthocenter,11(o▮▮▮▮▮▮▮▮▮▮),字,,三角形の三辺の垂線が交わる点のこと。,0,,
,垂心,,,,,,,
11,duodenum,8(d▮▮▮▮▮▮▮),字,,小腸と胃の中間に位置する臓器。,0,,
,十二指腸,,,,,,,
12,misdemeanor,11(m▮▮▮▮▮▮▮▮▮▮),字,,軽い犯罪。,0,,
,軽罪,,,,,,,
13,felony,6(f▮▮▮▮▮),字,,重い犯罪。,0,,
,重罪,,,,,,,
14,omniscient,9(o▮▮▮▮▮▮▮▮),字,,総てを知り、総ての事が出来るということ。,0,,
,全知全能,,,,,,,
15,(ill)omen,4(ill o▮▮▮),字,,悪いことが起こるのではないかという予兆。,0,,
,凶兆,,,,,,,
16,chromosome,10(c▮▮▮▮▮▮▮▮▮),字,,遺伝情報の発現と伝達を担う生体物質。,0,,
,染色体,,,,,,,
17,colloid,7(c▮▮▮▮▮▮),字,,大きな粒子が水の中に分散しているもの。,0,,
,膠質,,,,,,,
18,hailstone,9(h▮▮▮▮▮▮▮▮),字,,天候の一種。直径5mm以下の氷の粒が,0,,
,(天気としての)霰,,,,空から降ってくる現象。,,,
19,rhomboid,8(r▮▮▮▮▮▮▮),字,,四角形の一種。,0,,
,菱形,,,,四本の辺の長さが全て等しい四角形。,,,
20,agate,5(a▮▮▮▮),字,,縞状の玉髄の一種。,0,,
,瑪瑙,,,,堆積岩の空洞中に層状に沈殿してできる。,,,
21,alluvium,8(a▮▮▮▮▮▮▮),字,,土砂などが流水に運ばれて,0,,
,沖積,,,,河口や河岸に堆積すること。,,,
22,ecliptic,8(e▮▮▮▮▮▮▮),字,,天球上における太陽の見かけ上の通り道。,0,,
,黄道,,,,,,,
23,diarrhea,8(d▮▮▮▮▮▮▮),字,,通常に比べ非常に緩い便が出ること。,0,,
,下痢,,,,,,,
24,indulgence,10(i▮▮▮▮▮▮▮▮▮▮),字,,罪を逃れるためのもの。言い訳。,0,,
,免罪符,,,,,,,
25,minstrel,8(m▮▮▮▮▮▮▮),字,,詩曲を作り、各地を訪れて歌った人々。,0,,
,吟遊詩人,,,,,,,
26,apostle,7(a▮▮▮▮▮▮),字,,初期キリスト教において重要な地位を,0,,
,使徒,,,,占めた指導者群の称。 ,,,
27,antinomy,8(a▮▮▮▮▮▮▮),字,,相互に矛盾する二つの命題が,0,,
,二律背反,,,,同等の妥当性をもって主張されること。,,,
28,dissonance,10(d▮▮▮▮▮▮▮▮▮),字,,不協和音程をふくむ和音。,0,,
,不協和音,,,,不安定な音調になる。,,,
29,oligopoly,9(o▮▮▮▮▮▮▮▮),字,,少数の売り手が市場を支配すること。,0,,
,寡占,,,,,,,
30,coefficient,11(c▮▮▮▮▮▮▮▮▮▮),字,,一個以上の変数の積にかかっている定数。,0,,
,係数,,,,,,,
31,erratum,7(e▮▮▮▮▮▮),字,,形や用法がまちがっている字のこと。,0,,
,誤字,,,,,,,
32,privatisation、privatization,13(p▮▮▮▮▮▮▮▮▮▮▮▮),字,,国や公共団体が経営していた企業が,0,,
,民営化,,,,一般民間企業に改組されること。,,,
33,sophism,7(s▮▮▮▮▮▮),字,,道理に合わない、言いくるめの議論。,0,,
,詭弁,,,,ごまかしの議論。,,,
34,luminous,8(l▮▮▮▮▮▮▮),字,,光を発している状態。,0,,
,発光する,,,,,,,
35,constellation,13(c▮▮▮▮▮▮▮▮▮▮▮▮),字,,星同士をつなぎ合わせることでできる,0,,
,星座,,,,模様の事。,,,
36,overfitting,11(o▮▮▮▮▮▮▮▮▮▮),字,,主に統計学や機械学習において、過剰な,0,,
,過学習,,,,学習により未知データに対応できない状態。,,,
37,sear,4(s▮▮▮),字,,焼いて黒くする。こげた状態にする。,0,,
,焦がす,,,,,,,
38,crescent ,8(c▮▮▮▮▮▮▮),字,,弓なりの形をしていること。,0,,
,三日月型の,,,,,,,
39,septet,6(s▮▮▮▮▮),字,,7人で演奏を行うこと。,0,,
,七重奏,,,,,,,
40,reincarnation,13(r▮▮▮▮▮▮▮▮▮▮▮▮),字,,新たに肉体を授かること。,0,,
,輪廻,,,,,,,
41,fantasia,8(f▮▮▮▮▮▮▮),字,,即興的な曲想のもとにつくられた器楽曲。,0,,
,幻想曲,,,,,,,
42,cromlech,8(c▮▮▮▮▮▮▮),字,,ストーンサークルの事。,0,,
,環状列石,,,,,,,
43,megalopolis,11(m▮▮▮▮▮▮▮▮▮▮),字,,国連の定義では、人口が1千万人以上の,0,,
,巨大都市,,,,大都市の事。,,,
44,anaclasis,9(a▮▮▮▮▮▮▮▮),字,,光が異なる媒質に入るときに、,0,,
,(光などの)屈折,,,,その向きが変わること。,,,
45,amulet,6(a▮▮▮▮▮),字,,災いを払うためのお守り。,0,,
,魔除け,,,,,,,
46,acetic(acid),6(a▮▮▮▮▮ acid),字,,化学式CH3COOHであらわされる化合物。,0,,
,酢酸,,,,,,,
47,hypnosis,8(h▮▮▮▮▮▮▮),字,,暗示により、相手に対して肉体的、,0,,
,催眠術,,,,精神的な影響を与える術。,,,
48,citrus,6(c▮▮▮▮▮),字,,みかん科の果樹の総称。,0,,
,柑橘類,,,,,,,
49,ephemeral,9(e▮▮▮▮▮▮▮▮),字,,命が短いこと。,0,,
,短命,,,,,,,
50,concerto,8(c▮▮▮▮▮▮▮),字,,複数の独奏楽器と管弦楽によって,0,,
,協奏曲,,,,演奏される多楽章からなる楽曲。,,,
51,swallowtail,11(s▮▮▮▮▮▮▮▮▮▮),字,,アゲハチョウ科のチョウの総称。,0,,
,揚羽蝶,,,,,,,
52,nubilous、nebulous,8(n▮▮▮▮▮▮▮),字,,不透明であること。,0,,
,曇った,,,,,,,
53,(inall)modesty,7(in all m▮▮▮▮▮▮),字,,イディオム。,0,,
,控えめに言って,,,,「modesty」は「謙遜」という意味。,,,
54,(bornand)bred,4(born and ▮▮▮▮),字,,イディオム。,0,,
,生粋の,,,,「bred」は「養育した」という意味。,,,
55,(goit) blind,5(go it ▮▮▮▮▮),字,,イディオム。,0,,
,後先考えず,,,,「blind」は「盲目」などの意味。,,,
56,(tobe)candid,6(to be c▮▮▮▮▮),字,,イディオム。,0,,
,率直に言うと,,,,「candid」は「率直な」という意味。,,,
57,spasmodic,9(s▮▮▮▮▮▮▮▮),字,,激しい症状が突然に起こるさま。,0,,
,発作的な,,,,,,,
58,amnesia,7(a▮▮▮▮▮▮),字,,部分的、あるいは全体的に,0,,
,記憶喪失,,,,記憶をなくすこと。,,,
59,scarecrow,9(s▮▮▮▮▮▮▮▮),字,,畑などに置き、カラスなどを除けるための,0,,
,案山子,,,,人間に模したもの。,,,
60,megalomania,11(m▮▮▮▮▮▮▮▮▮▮),字,,自身の能力や資質を過剰に評価すること。,0,,
,誇大妄想,,,,,,,
61,veterinarian,12(v▮▮▮▮▮▮▮▮▮▮▮),字,,獣類、特に家畜の病気を治療する医師。,0,,
,獣医,,,,,,,
62,ferment,7(f▮▮▮▮▮▮),字,,食品に微生物が増えることによって,0,,
,発酵させる,,,,おこる変化のこと。,,,
63,(vernal)equinox,7(vernal e▮▮▮▮▮▮),字,,太陽が春分点を通過した瞬間の時刻を,0,,
,春分(の日),,,,その国の標準時で表したもの。,,,
64,burglar,7(b▮▮▮▮▮▮),字,,夜に強盗を働くこと。また、その人。,0,,
,夜盗,,,,,,,
65,makeshift,9(m▮▮▮▮▮▮▮▮),字,,その場だけとりつくろってすますこと。,0,,
,その場しのぎ,,,,,,,
66,abrasio,7(a▮▮▮▮▮▮),字,,他のものにすられて、減ること。,0,,
,磨耗,,,,すりへること。,,,
67,dexterity,9(d▮▮▮▮▮▮▮▮),字,,からだを思うように動かす能力。,0,,
,器用さ,,,,デクスタリティ。,,,
68,sanity、senses,6(s▮▮▮▮▮),字,,異常のない精神状態。,0,,
,正気,,,,,,,
69,whilst,6(w▮▮▮▮▮),字,,接続詞。特に同時に起きているものに対して、,0,,
,(～を)する一方で,,,,もう一方に焦点を当てる際に用いる。,,,
70,euphemistic,11(e▮▮▮▮▮▮▮▮▮▮),字,,遠回しに物事を伝えること。,0,,
,婉曲,,,,,,,
71,prolific,8(p▮▮▮▮▮▮▮),字,,子供や卵をたくさん生むもの。,0,,
,多産の,,,,,,,
72,buddhist,8(b▮▮▮▮▮▮▮),字,,仏教を信仰する人のこと。,0,,
,仏教徒,,,,,,,
73,inanimate,9(i▮▮▮▮▮▮▮▮),字,,生命でないこと。いのちをもっていないこと。,0,,
,無生物の,,,,,,,
74,pluto,5(p▮▮▮▮),字,,準惑星に区分される天体。,0,,
,冥王星,,,,,,,
75,herring,7(h▮▮▮▮▮▮),字,,ニシン目ニシン科の海水魚。,0,,
,ニシン,,,,,,,
76,fructose,8(f▮▮▮▮▮▮▮),字,,単糖の一種。フルクトース。,0,,
,果糖,,,,,,,
77,(bamboo)shoot,5(bamboo s▮▮▮▮),字,,竹の若芽。食物として用いられることも。,0,,
,筍,,,,,,,
78,vigil,5(v▮▮▮▮),字,,夜どおし寝ないこと。よあかし。,0,,
,徹夜,,,,,,,
79,topaz,5(t▮▮▮▮),字,,フッ素を含むアルミニウムの珪酸塩鉱物。,0,,
,黄玉,,,,トパーズ。,,,
80,lotus,5(l▮▮▮▮),字,,インド原産のハス科多年性水生植物。,0,,
,(植物の)蓮,,,,,,,
81,template,8(t▮▮▮▮▮▮▮),字,,溶融金属を注入して鋳物を作るための型。,0,,
,鋳型,,,,,,,
82,cosecant,8(c▮▮▮▮▮▮▮),字,,三角比および三角関数の一つ。 ,0,,
,(三角関数の)余割,,,,サインの逆数。,,,
83,leakage,7(l▮▮▮▮▮▮),字,,秘密などが漏れ出ること。,0,,
,漏洩,,,,,,,
84,succinite,9(s▮▮▮▮▮▮▮▮),字,,天然樹脂の化石。宝石として知られている。,0,,
,琥珀,,,,,,,
85,quaternion,10(q▮▮▮▮▮▮▮▮▮▮),字,,複素数を拡張した数体系。,0,,
,四元数,,,,三次元空間における回転にも用いられる。,,,
86,hoarfrost,9(h▮▮▮▮▮▮▮▮),字,,0℃以下に冷えた物体の表面に、,0,,
,(氷の結晶の)霜,,,,氷の結晶が堆積したものである。,,,
87,atavism,7(a▮▮▮▮▮▮),字,,世代をまたがる遺伝。,0,,
,隔世遺伝,,,,,,,
88,farce,5(f▮▮▮▮),字,,底の見えすいた、下手な芝居。,0,,
,茶番劇,,,,,,,
89,whirlwind,9(w▮▮▮▮▮▮▮▮),字,,渦を巻いて吹き上がる風。,0,,
,つむじ風,,,,,,,
90,dilettante,10(d▮▮▮▮▮▮▮▮▮▮),字,,ものずきな人。また、風流を好む人。,0,,
,好事家,,,,,,,
91,deduce,6(d▮▮▮▮▮),字,,大きな一つの大前提から,0,,
,演繹する,,,,結論を推論する推論の一種。,,,
92,induction,9(i▮▮▮▮▮▮▮▮),字,,観察された事実やデータ等の事実から,0,,
,帰納(法),,,,一般的な事実を導く推論の一種。,,,
93,hydrargyrum,11(h▮▮▮▮▮▮▮▮▮▮),字,,原子番号80の元素。元素記号は Hg。,0,,
,水銀,,,,,,,
94,aurum,5(a▮▮▮▮),字,,原子番号79の元素。元素記号はAu。,0,,
,(元素としての)金,,,,,,,
95,argentum,8(a▮▮▮▮▮▮▮),字,,原子番号47の元素。元素記号は Ag。,0,,
,(元素としての)銀,,,,,,,
96,anancastia,10(a▮▮▮▮▮▮▮▮▮▮),字,,きわめて強い不安感や恐怖感のこと。,0,,
,強迫観念,,,,,,,
97,opal,4(o▮▮▮),字,,酸化鉱物の一種。オパール。,0,,
,蛋白石,,,,,,,
98,northern(light),8(n▮▮▮▮▮▮▮ light),字,,オーロラのこと。,0,,
,極光,,,,,,,
99,columnar(joint),8(c▮▮▮▮▮▮▮ joint),字,,冷えていく溶岩やマグマ全体が縮むときに,0,,
,柱状節理,,,,できる柱状の割れ目。,,,
100,folie,5(f▮▮▮▮),字,,精神が異常になり常軌を逸していること。,0,,
,狂気,,,,また、そのような心。,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
