,,,,,,,,
1,くわよぼろ、くわよほろ,,字,,朝廷の田畑を耕すために集められた男性。,4,,
,钁丁,,,,,,,
2,らんしょうほうしゅう,,字,,賢く才能のあるすぐれた人物が,1,,
,鸞翔鳳集,,,,集まって来るたとえ。,,,
3,それい,,字,,精米をほとんどしていない米。玄米。,3,,
,麤糲,,,,,,,
4,りりょうのたま,,字,,非常に価値のある物のたとえ。,2,,
,驪竜之珠,,,,「驪竜」は黒い竜。,,,
5,なら(べる),,字,,特に、馬を並べること。,3,,
,驪(べる),,,,また、馬を並べて繋いだ二頭立ての馬車。,,,
6,すいさん,,字,,飯をたくこと。,1,,
,炊爨,,,,,,,
7,かんじゃくろう,,字,地,中国山西省永済県の西南の城壁にある,1,,
,鸛鵲楼,,,,三層の角楼。,,,
8,こうのとり,,字,動,コウノトリ科の鳥。,3,,
,鸛,,,,人間の赤子を運んでくるとされる。,,,
9,うが(つ),,字,,のみを使って穴を掘ること。,2,,
,鑿(つ),,,,,,,
10,さくがんき,,字,,鉱山や土木工事で、岩盤に穴をあける機械。,1,,
,鑿岩機,,,,,,,
11,ひきつ(る),3,字,,ひどいやけどなどにより、,2,,
,癴(る),,,,皮膚が引っ張られたような状態になること。,,,
12,かいらん,,字,,舟のともづなを解いて出発すること。,1,,
,解纜,,,,,,,
13,けが(れる),,字,,名誉や誇りを傷つけられること。,2,,
,黷(れる),,,,,,,
14,ぼうとく,,字,,神聖とされるものなどをおかしけがすこと。,1,,
,冒黷,,,,,,,
15,すずき,3,字,動,スズキ科の海水魚。出世魚。,1,,
,鱸,,,,,,,
16,はや(い),,字,,動くもののすすみが著しいこと。,3,,
,驤(い),,,,,,,
17,あ(がる),,字,,ウマが走るとき、首がふりあがること。,3,,
,驤(がる),,,,転じて、高くあがること。,,,
18,よろこ(ぶ),,字,,喜び楽しむこと。,3,,
,驩(ぶ),,,,,,,
19,こうかん,,字,,交際があまりない人たちが,2,,
,交驩,,,,打ち解け合って共に楽しむこと。,,,
20,どら,2,字,,盆形の打楽器。,2,,
,鑼,,,,「<銅鑼|どら>」、「<鐃|どら>」とも。,,,
21,らんが,,字,,天子の馬車。また、天子。,1,,
,鑾駕,,,,,,,
22,すず,2,字,,天子の乗るウマのくつわや,4,,
,鑾,,,,馬車の横木に取りつける鈴。,,,
23,(えいい)さんぎょう,,字,,集中して真剣に聖人を敬い慕うこと。,2,,
,(鋭意)鑽仰,,,,「鑽仰」は聖人の積んだ徳を敬うこと。,,,
24,きりび,,字,,火打石を打ち付けて出す火花。,3,,
,鑽火,,,,木材を擦って起こした火。,,,
25,こめかみ,4,字,,耳と目の間にある部分。,1,,
,顳顬,,,,,,,
26,しょうじゅ,5,字,,耳と目の間にある部分。,2,,
,顳顬,,,,,,,
27,あおあざ,,字,,打撲のために内出血して皮膚に生じる、,2,,
,青黶,,,,青黒い痣。,,,
28,ほくろ,3,字,,皮膚の表面にある黒い点。,1,,
,黶,,,,,,,
29,かんらん,,字,,カンラン科の常緑高木。,1,,
,橄欖,,,,,,,
30,にじ、ふみにじ(る),,字,,踏んですり潰すこと。,1,,
,躪(る),,,,,,,
31,じゅうりん,,字,,力のある者が弱い者の権利を踏みにじること。,1,,
,蹂躪,,,,,,,
32,きそく(をのばす),,字,,才能を十分に発揮すること。,2,,
,驥足(を展ばす),,,,,,,
33,うさぎうま,5,字,動,ロバの別名。,3,,
,驢,,,,「驢」は「ろば」とも読む。,,,
34,きろべきろ,,字,,すでに自分が持っているものを、,3,,
,騎驢覓驢,,,,他のところで手に入れようとすること。,,,
35,じょうし、せっし,,字,,小さいものをはさむ金属製の器具。,3,,
,鑷子,,,,ピンセット。,,,
36,ぬ(く),,字,,特に、毛抜きで毛を抜くこと。,2,,
,鑷(く),,,,,,,
37,からくじ,,字,,俗に言うはずれくじのこと。,2,,
,空鬮,,,,「空籤」とも。,,,
38,けんこつ,4(け○○○),字,,顔の左右にある、頬の上の部分の骨。,1,,
,顴骨,,,,,,,
39,ほおぼね,4,字,,ほほの上あたりにある骨。,3,,
,顴,,,,,,,
40,ちょうしょく,,字,,ながめみること。眺望。,2,,
,眺矚,,,,,,,
41,からすみ,,字,,魚の卵を塩漬けにした後に乾燥させた食べ物。,2,,
,鱲,,,,「鱲子」とも。,,,
42,かんす,,字,,茶の湯で使用する茶釜。,1,,
,鑵子,,,,,,,
43,(じんしん)しゅうらん,,字,,人々の心をとらえてまとめること。,1,,
,(人心)収攬,,,,,,,
44,す(べる),,字,,とりまとめること。,3,,
,攬(べる),,,,,,,
45,まなびや,4,字,,学校のこと。,4,,
,黌,,,,「<黌宇|こうう>」「<黌序|こうじょ>」と同意。,,,
46,すっぽん,4,字,,カメの一種。,1,,
,鼈,,,,,,,
47,あいたい,,字,,雲のたなびくさま。,1,,
,靉靆,,,,暗く陰気なさま。,,,
48,お(う),,字,,あとをつける。追う。追いかける。,2,,
,躡(う),,,,,,,
49,は(く),,字,,はく。はきものをはく。くつをはく。,2,,
,躡(く),,,,,,,
50,ふ(む),,字,,ふむ。足をふみつける。,2,,
,躡(む),,,,,,,
51,きりみ,3,字,,小さく切られた肉。,4,,
,臠,,,,4文字では<臠|きりにく>とも。,,,
52,まがき、りえん,,字,,竹や柴などをあらく編んだ垣根。,1,,
,籬垣,,,,<籬|まがき>、<籬|ませがき>とも。,,,
53,と(じる),,字,,しっかりと閉めること。,2,,
,鑰(じる),,,,,,,
54,こうべ、かしら、どくろ,3,字,,頭の上部。また、頭の骨のこと。,1,,
,顱,,,,,,,
55,うりよね,4,字,,穀物を売り出すこと。,4,,
,糶,,,,また、売るための穀物。,,,
56,あつ(める),,字,,文書等を集めること。 ,3,,
,纘(める),,,,,,,
57,こせつ(く),,字,,気持ちにゆとりがなく、こせこせすること。,4,,
,齷(く),,,,,,,
58,げっしるい,,字,,げっ歯目の哺乳動物の総称。,1,,
,囓歯類,,,,「齧歯類」は標準字体。,,,
59,むしば,3,字,,侵食された歯。,3,,
,齲,,,,,,,
60,はぐき,3,字,,歯の根元を包む肉。,3,,
,齶,,,,,,,
61,がくきゅうしょうほう,,字,,小人物が大人物を嘲笑うこと。,4,,
,鷽鳩笑鵬,,,,,,,
62,ごうとう,,字,,書物の本文の上の空欄。,1,,
,鼇頭,,,,また、そこに書かれた注解。,,,
63,(あつものにこりて)なます(をふく),,字,,ある失敗に懲りて必要以上に用心深くなり、,1,,
,(羹に懲りて)膾(を吹く),,,,無意味な心配をすることのたとえ。,,,
64,うな(される),,字,,悪夢を見て苦しそうな声を出すこと。,2,,
,魘(される),,,,,,,
65,おそ(われる),,字,,恐怖を感じる夢を見て苦しむこと。,2,,
,魘(われる),,,,,,,
66,はも,2(は○),字,動,タイワンドジョウ科の淡水魚。,1,,
,鱧,,,,,,,
67,あいあい,,字,,雲の集まるさま。,2,,
,靄靄,,,,,,,
68,(せいてんの)へきれき,,字,,思いもよらない大事件や変動が,1,,
,(青天の)霹靂,,,,突然起こること。,,,
69,ときょきしょ,,字,,色々なところに悪人がいること。,3,,
,蠹居棊処,,,,,,,
70,きくいむし,,字,動,キクイムシ科の昆虫の総称。,4,,
,蠹,,,,,,,
71,しゅうう,,字,,急激に強く降り出し、急に止む雨。,1,,
,驟雨,,,,にわか雨。,,,
72,しばしば,4,字,,幾度も幾度も繰り返し。たびたび。,2,,
,驟,,,,,,,
73,ふうかんうびん,,字,,風雨にさらされて、,3,,
,風鬟雨鬢,,,,苦労しながら仕事に励むこと。,,,
74,いろり、ふいご、たたら,3,字,,床を四角に掘って火を燃やすところ。,3,,
,鑪,,,,また、火をおこすために風を送りだす道具。,,,
75,(こうが)たいとう,,字,,高い地位のしるしや、,2,,
,(高牙)大纛,,,,軍の本陣のしるしのこと。,,,
76,はたぼこ,4,字,,旄牛の尾やきじの羽で作った,4,,
,纛,,,,飾りをつるした大旗。,,,
77,かまびす(しい),,字,,やかましい。そうぞうしい。,3,,
,讙(しい),,,,,,,
78,きょうかん,,字,,やかましくわめくこと。,2,,
,叫讙,,,,,,,
79,しるし,3,字,,前兆。予兆。,1,,
,讖,,,,,,,
80,よこしま,4,字,,心がひねくれていること。,3,,
,讒,,,,,,,
81,やが(て),,字,,まもなく。そのうちに。,1,,
,軈(て),,,,,,,
82,ひそ(みにならう),,字,,事の良し悪しを考えず、,4,,
,顰(みに倣う),,,,むやみに人の真似をするたとえ。,,,
83,しゅうせんいんらく,,字,,ぶらんこが設置されている中庭のこと。,1,,
,鞦韆院落,,,,,,,
84,くる(う),,字,,気がふれること。,2,,
,癲(う),,,,,,,
85,つな(ぐ),,字,,つなぎ止め、自由を拘束すること。,2,,
,羈(ぐ),,,,,,,
86,ひいき,,字,,自分の気に入った者に目を掛け、,1,,
,屭,,,,力を添えて助けること。,,,
87,おもがい,4(お○○○),字,,馬の頭の上からくつわにかけて飾りにする紐。,4,,
,羈,,,,,,,
88,かんが(みる),,字,,手本と照らし合わせてよく考えること。,1,,
,鑒(みる),,,,,,,
89,かっさら(う),,字,,土砂などを深くすくうようにして掘る。,1,,
,掻攫(う),,,,また、人のすきに乗じて物を盗み取る。,,,
90,ばいう、つゆ,,字,,六月から七月中旬にかけて降リ続く、,2,,
,黴雨,,,,季節的な雨。,,,
91,かわせみ,,字,動,カワセミ科の水鳥。,1,,
,鷸,,,,,,,
92,まじな(い),,字,,神仏その他神秘的なものの威力を借りて、,3,,
,蠱(い),,,,災いを取り除いたり起こしたりしようとする術。,,,
93,おうち,3,字,植,センダン科の落葉高木。,3,,
,欒,,,,「楝」とも。,,,
94,えくぼ,3,字,,笑った時にできるくぼみ。,1,,
,靨,,,,,,,
95,がせん,,字,,象牙でつくった小さい札。,2,,
,牙籤,,,,,,,
96,かんやく,,字,,笛の一種。または、鍵のこと。,2,,
,管籥,,,,,,,
97,(しゅうこうきんを)と(かす),,字,,多くの人が一緒になって何かを言うと、,1,,
,(衆口金を)鑠(かす),,,,正義や真実さえ打ち砕かれるということ。,,,
98,す(る),,字,,やすりでみがくこと。,2,,
,鑢(る),,,,,,,
99,びゃくろう、はくろう、しろめ,,字,,錫と鉛の合金のこと。,1,,
,白鑞,,,,,,,
100,ゆしょうさんげき,,字,,男性と女性が他人に見られないように,3,,
,踰牆鑚隙,,,,会うことのたとえ。,,,
101,りゅうえい,,字,,皇が用いる冠の纓の形状。,1,,
,立纓,,,,,,,
102,しゃれこうべ,6,字,,風雨にさらされて白くなった頭骨。,2,,
,髑,,,,「されこうべ」とも。,,,
103,むく(いる),,字,,仕返しをすること。,1,,
,讐(いる),,,,,,,
104,おんしゅう(ぶんめい),,字,,恩とあだをはっきりと区別し、,2,,
,恩讎(分明),,,,それぞれに必ず報いること。,,,
105,あだ,2,字,,かたきのこと。,1,,
